MAL_ID,Name,Score,Genres,English name,Type,Episodes,Aired,Status,Premiered,Producers,Licensors,Studios,Source,Rating,Ranked,Popularity
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,TV,26,"Apr 3, 1998 to Apr 24, 1999",Completed,Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,R - 17+ (violence & profanity),28,39
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Cowboy Bebop:The Movie,Movie,1,1-Sep-01,Incomplete,Unknown,"Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,Original,R - 17+ (violence & profanity),159,518
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,TV,26,"Apr 1, 1998 to Sep 30, 1998",Completed,Spring 1998,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,PG-13 - Teens 13 or older,266,201
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,TV,26,"Jul 2, 2002 to Dec 24, 2002",Completed,Summer 2002,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Original,PG-13 - Teens 13 or older,2481,1467
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,TV,52,"Sep 30, 2004 to Sep 29, 2005",Completed,Fall 2004,"TV Tokyo, Dentsu",Unknown,Toei Animation,Manga,PG - Children,3710,4369
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",Unknown,TV,145,"Apr 6, 2005 to Mar 19, 2008",Completed,Spring 2005,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha","VIZ Media, Sentai Filmworks",Gallop,Manga,PG-13 - Teens 13 or older,604,1003
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,TV,24,"Apr 15, 2005 to Sep 27, 2005",Completed,Spring 2005,"Genco, Fuji TV, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,PG-13 - Teens 13 or older,468,687
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",Unknown,TV,52,"Sep 11, 2002 to Sep 10, 2003",Completed,Fall 2002,Unknown,Unknown,Nippon Animation,Manga,PG-13 - Teens 13 or older,1317,3612
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",Unknown,TV,24,"Apr 17, 2004 to Feb 18, 2006",Completed,Spring 2004,"OB Planning, Studio Jack",Funimation,A.C.G.T.,Manga,PG-13 - Teens 13 or older,360,1233
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Monster,TV,74,"Apr 7, 2004 to Sep 28, 2005",Completed,Spring 2004,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,R+ - Mild Nudity,30,169
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,TV,220,"Oct 3, 2002 to Feb 8, 2007",Completed,Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,PG-13 - Teens 13 or older,660,8
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",One Piece,TV,Unknown,"Oct 20, 1999 to ?",Ongoing,Fall 1999,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,PG-13 - Teens 13 or older,95,31
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,TV,178,"Oct 10, 2001 to Mar 23, 2005",Completed,Fall 2001,"Production I.G, Nihon Ad Systems",VIZ Media,Trans Arts,Manga,PG-13 - Teens 13 or older,675,1039
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",Unknown,TV,12,"Oct 6, 2004 to Dec 15, 2004",Completed,Fall 2004,Unknown,Unknown,Toei Animation,Manga,PG - Children,6493,7333
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,TV,26,"Oct 5, 2004 to Mar 29, 2005",Completed,Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,PG-13 - Teens 13 or older,625,514
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,TV,24,"Oct 6, 2004 to Mar 30, 2005",Completed,Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,R - 17+ (violence & profanity),1844,1284
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TV,22,"Apr 17, 2003 to Sep 25, 2003",Completed,Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,R+ - Mild Nudity,896,823
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",Trinity Blood,TV,24,"Apr 29, 2005 to Oct 28, 2005",Completed,Spring 2005,Unknown,Funimation,Gonzo,Light novel,R - 17+ (violence & profanity),2240,936
28,Yakitate!! Japan,7.95,"Comedy, Shounen",Yakitate!! Japan,TV,69,"Oct 12, 2004 to Mar 14, 2006",Completed,Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,PG-13 - Teens 13 or older,609,1666
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",Unknown,TV,26,"Oct 8, 2004 to Apr 1, 2005",Completed,Fall 2004,"Marvelous, TBS",Geneon Entertainment USA,Studio Deen,Manga,PG-13 - Teens 13 or older,1565,3985
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,TV,26,"Oct 4, 1995 to Mar 27, 1996",Completed,Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,PG-13 - Teens 13 or older,208,54
